year,state,seat_code_no,seat_code,seat_name,candidate,party,coalition,winlose,is_uncontested,votes,majority,margin,voteshare,total_eligible,total_voted,total_majority,votes_spoilt,race_malay,race_chinese,race_indian,race_others,race_bumi_east_msia,data_errors
2004,Penang,42,P42,Tasek Gelugor,Datuk Seri Mohd Shariff Omar,UMNO,BN,1,0,22011,10183,0.3009249682319218,0.6504624841159609,41615,33839,10183,620,0.77,0.15,0.07,0.0,0.0,
2004,Penang,42,P42,Tasek Gelugor,Mujahid Yusof Rawa,PAS,Pakatan,0,0,11828,-10183,-0.3009249682319218,0.34953751588403914,41615,33839,10183,620,0.77,0.15,0.07,0.0,0.0,
2004,Penang,43,P43,Bagan,Lim Chien Aun,MCA,BN,0,0,19473,-3622,-0.08508738958842323,0.4574563052057884,57322,42568,3622,961,0.15,0.71,0.14,0.0,0.0,
2004,Penang,43,P43,Bagan,Lim Hock Seng,DAP,Pakatan,1,0,23095,3622,0.08508738958842323,0.5425436947942116,57322,42568,3622,961,0.15,0.71,0.14,0.0,0.0,
2004,Penang,44,P44,Permatang Pauh,Datuk Pirdaus Ismail,UMNO,BN,0,0,21147,-590,-0.013758044958492678,0.4931209775207537,54041,42884,590,665,0.68,0.26,0.06,0.0,0.0,
2004,Penang,44,P44,Permatang Pauh,Datin Seri Dr Wan Azizah Wan Ismail,PKR,Pakatan,1,0,21737,590,0.013758044958492678,0.5068790224792463,54041,42884,590,665,0.68,0.26,0.06,0.0,0.0,
2004,Penang,45,P45,Bukit Mertajam,Ma Kok Ben,MCA,BN,0,0,17651,-8564,-0.19523093056125473,0.40238453471937263,58736,43866,8564,1148,0.19,0.73,0.09,0.0,0.0,
2004,Penang,45,P45,Bukit Mertajam,Chong Eng,DAP,Pakatan,1,0,26215,8564,0.19523093056125473,0.5976154652806274,58736,43866,8564,1148,0.19,0.73,0.09,0.0,0.0,
2004,Penang,46,P46,Batu Kawan,Huan Cheng Guan,GERAKAN,BN,1,0,17097,8998,0.28341942799546427,0.538522111629079,43055,31748,8998,811,0.21,0.56,0.23,0.0,0.0,
2004,Penang,46,P46,Batu Kawan,Law Choo Kian,PKR,Pakatan,0,0,8099,-8998,-0.28341942799546427,0.2551026836336147,43055,31748,8998,811,0.21,0.56,0.23,0.0,0.0,
2004,Penang,46,P46,Batu Kawan,Tanasekharan A/L Audherapady,DAP,Pakatan,0,0,6552,-10545,-0.28341942799546427,0.20637520473730628,43055,31748,8998,811,0.21,0.56,0.23,0.0,0.0,
2004,Penang,47,P47,Nibong Tebal,Datuk Zainal Abidin Osman,UMNO,BN,1,0,18823,6005,0.1897854050124838,0.5948927025062419,41161,31641,6005,751,0.44,0.41,0.16,0.0,0.0,
2004,Penang,47,P47,Nibong Tebal,Goh Kheng Huat,PKR,Pakatan,0,0,12818,-6005,-0.1897854050124838,0.4051072974937581,41161,31641,6005,751,0.44,0.41,0.16,0.0,0.0,
2004,Penang,48,P48,Bukit Bendera,Chia Kwang Chye,GERAKAN,BN,1,0,28281,10717,0.233765950485331,0.6168829752426656,65126,45845,10717,998,0.14,0.74,0.11,0.01,0.0,
2004,Penang,48,P48,Bukit Bendera,Zulkifli Mohd Noor,DAP,Pakatan,0,0,17564,-10717,-0.233765950485331,0.3831170247573345,65126,45845,10717,998,0.14,0.74,0.11,0.01,0.0,
2004,Penang,49,P49,Tanjong,Ooi Swee Hing,GERAKAN,BN,0,0,17424,-4228,-0.10819940628518784,0.44590029685740606,57902,39076,4228,717,0.05,0.86,0.09,0.0,0.0,
2004,Penang,49,P49,Tanjong,Chow Kon Yeow,DAP,Pakatan,1,0,21652,4228,0.10819940628518784,0.5540997031425939,57902,39076,4228,717,0.05,0.86,0.09,0.0,0.0,
2004,Penang,50,P50,Jelutong,Lee Kah Choon,GERAKAN,BN,1,0,24988,7470,0.17573989554415848,0.5878699477720792,59641,42506,7470,1002,0.2,0.68,0.12,0.0,0.0,
2004,Penang,50,P50,Jelutong,Gooi Seong Kin,DAP,Pakatan,0,0,17518,-7470,-0.17573989554415848,0.41213005222792076,59641,42506,7470,1002,0.2,0.68,0.12,0.0,0.0,
2004,Penang,51,P51,Bukit Gelugor,Lim Boo Chang,MCA,BN,0,0,21268,-1261,-0.02879192638765212,0.4856040368061739,60123,43797,1261,793,0.16,0.74,0.1,0.0,0.0,
2004,Penang,51,P51,Bukit Gelugor,Karpal Singh,DAP,Pakatan,1,0,22529,1261,0.02879192638765212,0.5143959631938261,60123,43797,1261,793,0.16,0.74,0.1,0.0,0.0,
2004,Penang,52,P52,Bayan Baru,Wong Kam Hoong,MCA,BN,1,0,29430,18851,0.47116898697792997,0.7355844934889649,55407,40009,18851,1010,0.4,0.48,0.12,0.01,0.0,
2004,Penang,52,P52,Bayan Baru,Ong Peng Cheow,PKR,Pakatan,0,0,10579,-18851,-0.47116898697792997,0.264415506511035,55407,40009,18851,1010,0.4,0.48,0.12,0.01,0.0,
2004,Penang,53,P53,Balik Pulau,Datuk Dr Hilmi Yahaya,UMNO,BN,1,0,21114,12937,0.4416715031921068,0.7208357515960534,38611,29291,12937,564,0.59,0.36,0.04,0.0,0.0,
2004,Penang,53,P53,Balik Pulau,Dr Rohana Ariffin,PKR,Pakatan,0,0,8177,-12937,-0.4416715031921068,0.2791642484039466,38611,29291,12937,564,0.59,0.36,0.04,0.0,0.0,
2004,Perak,54,P54,Grik,Datuk Dr Wan Hashim Wan Teh,UMNO,BN,1,0,12293,8080,0.48951896280140555,0.7447594814007028,24646,16506,8080,759,0.67,0.2,0.05,0.08,0.0,
2004,Perak,54,P54,Grik,Ramli Tusin,PAS,Pakatan,0,0,4213,-8080,-0.48951896280140555,0.25524051859929725,24646,16506,8080,759,0.67,0.2,0.05,0.08,0.0,
2004,Perak,55,P55,Lenggong,Datil Khamsiyah Yeop,UMNO,BN,1,0,10924,5632,0.34731129748396644,0.6736556487419832,23159,16216,5632,295,0.78,0.18,0.02,0.01,0.0,
2004,Perak,55,P55,Lenggong,Zulkifli Abu,PAS,Pakatan,0,0,5292,-5632,-0.34731129748396644,0.32634435125801675,23159,16216,5632,295,0.78,0.18,0.02,0.01,0.0,
2004,Perak,56,P56,Larut,Datuk Raja Ahmad Zainuddin Raja Omar,UMNO,BN,1,0,18421,7438,0.2529587811182152,0.6264793905591076,40150,29404,7438,756,0.86,0.07,0.07,0.0,0.0,
2004,Perak,56,P56,Larut,Kamaruddin Awang Basir,PAS,Pakatan,0,0,10983,-7438,-0.2529587811182152,0.3735206094408924,40150,29404,7438,756,0.86,0.07,0.07,0.0,0.0,
2004,Perak,57,P57,Parit Buntar,Brig (G) Datuk Abd Hamid Ngah @ Zainal Abidin,UMNO,BN,1,0,19317,4698,0.13843705799151343,0.5692185289957568,44797,33936,4698,591,0.67,0.28,0.05,0.0,0.0,
2004,Perak,57,P57,Parit Buntar,Datuk Dr Hasan Mohd Ali,PAS,Pakatan,0,0,14619,-4698,-0.13843705799151343,0.4307814710042433,44797,33936,4698,591,0.67,0.28,0.05,0.0,0.0,
2004,Perak,58,P58,Bagan Serai,Datuk Zainal Abidin Zin,UMNO,BN,1,0,19827,5614,0.16492361927144536,0.5824618096357227,47745,34040,5614,986,0.73,0.16,0.11,0.0,0.0,
2004,Perak,58,P58,Bagan Serai,Ahmad Awang,PAS,Pakatan,0,0,14213,-5614,-0.16492361927144536,0.4175381903642773,47745,34040,5614,986,0.73,0.16,0.11,0.0,0.0,
2004,Perak,59,P59,Bukit Gantang,Tan Lian Hoe,GERAKAN,BN,1,0,16846,6702,0.24831419044090403,0.624157095220452,53880,26990,6702,886,0.63,0.28,0.1,0.0,0.0,
2004,Perak,59,P59,Bukit Gantang,Dr Lo Lo Mohamed Ghazli,PAS,Pakatan,0,0,10144,-6702,-0.24831419044090403,0.37584290477954796,53880,26990,6702,886,0.63,0.28,0.1,0.0,0.0,
2004,Perak,60,P60,Taiping,Datuk M Kayveas,PPP,BN,1,0,20129,2172,0.05115764184940057,0.4741032103068987,65046,42457,2172,1337,0.32,0.53,0.14,0.01,0.0,
2004,Perak,60,P60,Taiping,Ong Chee Keng,DAP,Pakatan,0,0,17957,-2172,-0.05115764184940057,0.4229455684574982,65046,42457,2172,1337,0.32,0.53,0.14,0.01,0.0,
2004,Perak,60,P60,Taiping,P Annah Dorai,PKR,Pakatan,0,0,4371,-15758,-0.05115764184940057,0.10295122123560307,65046,42457,2172,1337,0.32,0.53,0.14,0.01,0.0,
2004,Perak,61,P61,Padang Rengas,Datuk Seri Mohamed Nazri Abd Aziz,UMNO,BN,1,0,9214,4772,0.34944346807264204,0.6747217340363211,24863,13656,4772,323,0.73,0.2,0.07,0.0,0.0,
2004,Perak,61,P61,Padang Rengas,Mohd Zolkafli Yahaya,PKR,Pakatan,0,0,4442,-4772,-0.34944346807264204,0.325278265963679,24863,13656,4772,323,0.73,0.2,0.07,0.0,0.0,
2004,Perak,62,P62,Sungai Siput,Datuk Seri Samy Vellu,MIC,BN,1,0,18797,10235,0.3386493729940774,0.6219435529232703,46783,30223,10235,583,0.31,0.41,0.23,0.05,0.0,
2004,Perak,62,P62,Sungai Siput,Dr Michael Jeyakumar Devaraj,PKR,Pakatan,0,0,8562,-10235,-0.3386493729940774,0.283294179929193,46783,30223,10235,583,0.31,0.41,0.23,0.05,0.0,
2004,Perak,62,P62,Sungai Siput,Samugam Ponmugam Ponnan,DAP,Pakatan,0,0,2864,-15933,-0.3386493729940774,0.09476226714753665,46783,30223,10235,583,0.31,0.41,0.23,0.05,0.0,
2004,Perak,63,P63,Tambun,Datuk Ahmad Husni Hanadzlah,UMNO,BN,1,0,31824,17360,0.3750432077428275,0.6875216038714138,65219,46288,17360,1280,0.63,0.24,0.12,0.01,0.0,
2004,Perak,63,P63,Tambun,Dr Khairuddin Datuk Abdul Malek,PAS,Pakatan,0,0,14464,-17360,-0.3750432077428275,0.31247839612858624,65219,46288,17360,1280,0.63,0.24,0.12,0.01,0.0,
